x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
16,2,14,2,12,1,10,0,7,0,1,0,0,0,-1,0,-4,0,-5,0,-7,-1,-9,-1,-10,-1,-14,0,-15,0,1,0,0,0,0
16,-3,14,1,11,1,7,1,6,1,5,0,0,1,0,0,0,-1,-4,1,-6,1,-8,0,-10,1,-13,1,-14,1,1,0,0,0,0
29,3,24,6,20,3,19,1,15,0,11,0,9,1,6,2,-8,0,-12,-1,-14,-2,-19,-4,-26,-2,-28,-2,-29,-2,1,0,0,0,0
25,8,24,7,22,7,20,5,17,2,12,1,5,0,0,-2,-1,-2,-7,-2,-14,-6,-19,-6,-24,-5,-28,-5,-35,-7,1,0,0,0,0
-18,-1,-18,1,-17,1,-15,0,-14,1,-9,0,-7,1,-4,0,-2,0,1,1,12,0,15,-1,19,-1,25,-1,35,-1,1,0,0,0,0
41,1,36,0,32,0,26,0,14,-1,9,-2,3,-1,-1,-1,-11,0,-15,0,-18,0,-21,1,-28,1,-30,1,-31,-1,1,0,0,0,0
8,1,8,0,3,1,5,-1,4,-1,4,0,0,1,-1,1,-2,0,-2,-1,-3,0,-6,0,-7,0,-7,-1,-11,0,1,0,0,0,0
-17,1,-15,0,-13,0,-12,0,-9,0,-1,0,2,0,3,0,4,0,6,-1,8,0,9,1,12,1,15,1,16,1,1,0,0,0,0
23,-3,22,-2,18,-3,14,0,11,1,6,1,3,1,-3,0,-5,-1,-8,-1,-10,0,-15,1,-17,1,-20,1,-20,2,1,0,0,0,0
-20,-4,-18,-3,-14,-3,-11,-1,-9,-1,-5,0,-2,2,4,3,7,3,9,2,9,1,10,2,11,2,13,2,14,2,1,0,0,0,0
-24,-2,-18,-2,-15,-2,-13,-1,-9,-2,-7,-1,-3,-1,-1,-1,1,-2,4,0,10,1,14,2,18,2,21,1,27,1,1,0,0,0,0
-16,1,-11,-1,-10,-1,-6,1,-6,0,-4,1,-3,0,-2,-1,-1,-1,2,-3,6,-1,8,0,11,0,12,-1,15,0,1,0,0,0,0
-12,1,-11,1,-10,0,-8,1,-6,1,-5,1,-4,0,-2,-1,0,-1,3,-1,5,-1,9,-3,10,-2,13,-1,14,-1,1,0,0,0,0
-20,1,-18,0,-13,-1,-12,-1,-9,-1,-4,0,-2,0,0,0,0,0,8,-1,10,0,10,1,16,1,19,1,21,2,1,0,0,0,0
21,-1,19,1,18,0,16,0,14,-2,12,-1,0,-1,-1,-1,-3,0,-7,0,-13,1,-16,1,-18,-1,-19,-1,-21,0,1,0,0,0,0
10,-1,10,0,9,0,8,0,6,0,6,-2,0,-1,-1,0,-4,0,-4,0,-8,1,-7,-1,-7,-1,-13,2,-13,3,1,0,0,0,0
-21,-3,-20,-3,-20,-3,-18,-3,-9,-1,-7,-1,-5,-1,-3,-1,-1,0,4,0,8,-1,11,1,23,2,27,4,30,3,1,0,0,0,0
9,1,8,0,7,0,7,0,7,0,3,0,1,0,0,0,-3,1,-4,0,-5,0,-7,0,-8,1,-10,0,-11,0,1,0,0,0,0
-39,-5,-34,-5,-30,-6,-27,-4,-15,-3,-11,-1,-8,-2,-2,-1,2,-2,8,2,11,3,18,3,23,4,49,4,56,5,1,0,0,0,0
-28,-1,-22,0,-8,-3,-4,-2,-1,-3,-2,-2,3,1,6,2,7,2,7,2,9,3,9,3,9,3,8,2,8,1,1,0,0,0,0
-37,-5,-33,-5,-27,-5,-17,-4,-8,-5,-3,-3,0,-1,6,0,14,4,15,4,17,4,18,5,20,4,20,4,20,4,1,0,0,0,0
24,-1,22,-1,19,0,12,0,9,0,5,-2,2,-2,-3,-3,-5,-2,-7,-1,-12,-1,-13,2,-15,1,-16,1,-20,2,1,0,0,0,0
-10,2,-9,2,-7,2,-6,2,-5,0,-4,0,-2,-1,-1,-1,0,0,2,-1,3,0,5,-1,8,-2,11,0,12,0,1,0,0,0,0
17,-1,14,-2,13,-1,11,-1,7,0,6,0,2,0,1,0,-2,0,-6,1,-8,3,-9,2,-11,2,-13,0,-15,1,1,0,0,0,0
